cat_title,cat_level,num_aff_pages,page_title
Computer_engineering,1,45,Rice_University_Electrical_and_Computer_Engineering
Computer_engineering,1,45,Processing_delay
Computer_engineering,1,45,Informatics_engineering
Computer_engineering,1,45,List_of_universities_with_computer_engineering_programs
Computer_engineering,1,45,Electrical_engineering
Computer_engineering,1,45,Eyeball_network
Information_science,1,247,"Library,_Information_Science_&_Technology_Abstracts"
Information_science,1,247,Samuel_C._Bradford
Information_science,1,247,Internet_Research_(journal)
Information_science,1,247,Journal_of_the_Association_for_Information_Science_and_Technology
Information_science,1,247,Traitxc3xa9_de_Documentation
Information_science,1,247,Informative_modelling
Information_science,1,247,Informing_science
Computer_engineering,1,45,Broadcast_engineering
Computer_engineering,1,45,Daffodil_Polytechnic_Institute
Computer_engineering,1,45,George_M._Galambos
Computer_engineering,1,45,Behnaam_Aazhang
Computer_engineering,1,45,Processor_design
Information_science,1,247,Personal_information_management
Information_science,1,247,Information_science
Computer_engineering,1,45,Alpha_strike_(engineering)
Information_science,1,247,Informationist
Information_science,1,247,Classification_Research_Group
Information_science,1,247,The_Social_Life_of_Information
Information_science,1,247,Secondary_source
Information_science,1,247,Informedia_Digital_Library
Information_science,1,247,Subject_(documents)
Information_science,1,247,Data_quality
Information_science,1,247,Brian_Deer_Classification_System
Information_science,1,247,Glossary_of_library_and_information_science
Information_science,1,247,Ergodic_literature
Information_science,1,247,BioCreative
Information_science,1,247,Education_informatics
Information_science,1,247,Webometrics_Ranking_of_Business_Schools
Statistics,1,17,Marshall-Olkin_exponential_distribution
Statistics,1,17,Seriation_(statistics)
Computer_engineering,1,45,Perceived_performance
Computer_engineering,1,45,Gajski-Kuhn_chart
Computer_engineering,1,45,Outline_of_computer_engineering
Computer_engineering,1,45,J._Halcombe_Laning
Computer_engineering,1,45,Embedded_system
Computer_engineering,1,45,Algorithmic_state_machine
Statistics,1,17,Ogive_(statistics)
Information_science,1,247,Semantic_Sensor_Web
Statistics,1,17,Outline_of_statistics
Statistics,1,17,Statistics
Information_science,1,247,Information_search_process
Information_science,1,247,ArchiMate
Information_science,1,247,Bibliographic_database
Information_science,1,247,Information_strategist
Information_science,1,247,Library_and_Information_Science_Abstracts
Information_science,1,247,Augmentation_Research_Center
Information_science,1,247,Transliteracy
Information_science,1,247,Top-down_and_bottom-up_design
Information_science,1,247,Indexing_Software
Information_science,1,247,Evidence-based_library_and_information_practice
Information_science,1,247,Webography
Information_science,1,247,Informatics
Information_science,1,247,UCL_Department_of_Information_Studies
Information_science,1,247,Toy_problem
Information_science,1,247,E-Science_librarianship
Information_science,1,247,Ontology_alignment
Information_science,1,247,Jason_Farradane
Information_science,1,247,Data_janitor
Information_science,1,247,Library_history
Information_science,1,247,Intergovernmental_Bureau_for_Informatics
Information_science,1,247,Archetype_(information_science)
Information_science,1,247,Neuroheuristics
Information_science,1,247,Documentalist
Information_science,1,247,Living_lab
Information_science,1,247,Pearl_growing
Information_science,1,247,Actionable_information_logistics
Information_science,1,247,Geographic_information_science
Mathematics,1,31,Chinese_mathematics
Mathematics,1,31,Cubical_complex
Information_science,1,247,Library_Literature_and_Information_Science
Information_science,1,247,Behavior_informatics
Mathematics,1,31,Mathematics
Information_science,1,247,Interactivity
Mathematics,1,31,Outline_of_mathematics
Mathematics,1,31,Midy's_theorem
Mathematics,1,31,Cancelling_out
Information_science,1,247,SIRCA
Information_science,1,247,Digital_artifact
Information_science,1,247,Data_science
Information_science,1,247,Information_literacy
Information_science,1,247,Information_architecture
Information_science,1,247,POSC_Caesar
Information_science,1,247,Information_history
Information_science,1,247,Science_communication
Information_science,1,247,Informetrics
Information_science,1,247,Conceptualization_(information_science)
Information_science,1,247,Critical_data_studies
Information_science,1,247,Sign_system
Information_science,1,247,Information_audit
Information_science,1,247,Information_quality
Information_science,1,247,Process_development_execution_system
Information_science,1,247,Document
Information_science,1,247,Subject_indexing
Information_science,1,247,Relevance
Information_science,1,247,Memory_institution
Information_science,1,247,Suzanne_Briet
Information_science,1,247,HL7_Services_Aware_Interoperability_Framework
Information_science,1,247,Visual_Paradigm_for_UML
Information_science,1,247,Retrievability
Information_science,1,247,Digital_South_Asia_Library
Information_science,1,247,Environmental_niche_modelling
Information_science,1,247,Implication_(information_science)
Information_science,1,247,Documentation
Information_science,1,247,MIKE2.0_methodology
Information_science,1,247,Phyllis_Richmond
Information_science,1,247,Thesaurus
Information_science,1,247,Knowledge_spillover
Information_science,1,247,Sound_and_music_computing
Information_science,1,247,ARMA_International
Information_science,1,247,Information
Information_science,1,247,Humanities_Advanced_Technology_and_Information_Institute
Information_science,1,247,Shifra_Baruchson_Arbib
Information_science,1,247,Guide_to_information_sources
Information_science,1,247,Enterprise_architecture
Information_science,1,247,Information_flow
Information_science,1,247,Documentation_science
Information_science,1,247,Source_criticism
Information_science,1,247,Association_for_Information_Science_and_Technology
Information_science,1,247,Energy_informatics
Information_science,1,247,International_Society_for_Knowledge_Organization
Information_science,1,247,"Not_Censorship,_But_Selection"
Information_science,1,247,ISO_15926
Information_science,1,247,Predictive_informatics
Information_science,1,247,Programming_the_Universe
Information_science,1,247,Interviewer_effect
Information_science,1,247,Ontology_for_Biomedical_Investigations
Information_science,1,247,Information_Processing_and_Management
Information_science,1,247,Information_Rules
Information_science,1,247,Aboutness
Information_science,1,247,Primary_source
Information_science,1,247,Mental_model
Information_science,1,247,Applied_Information_Science_in_Economics
Information_science,1,247,Multi-Agent_Programming_Contest
Information_science,1,247,Records_Continuum_Model
Human-computer_interaction,2,275,Interaction_technique
Human-computer_interaction,2,0,Interaction_technique
Human-computer_interaction,2,275,Cortical_modem
Human-computer_interaction,2,0,Mode_(computer_interface)
Human-computer_interaction,2,0,Human_interface_guidelines
Human-computer_interaction,2,275,Human_interface_guidelines
Human-computer_interaction,2,0,Cortical_modem
Human-computer_interaction,2,275,Martin_M._Wattenberg
Human-computer_interaction,2,0,Living_lab
Human-computer_interaction,2,275,Living_lab
Human-computer_interaction,2,0,Martin_M._Wattenberg
Human-computer_interaction,2,275,Mode_(computer_interface)
Human-computer_interaction,2,0,Semiotic_engineering
Human-computer_interaction,2,275,Semiotic_engineering
Knowledge_engineering,2,36,Subject-matter_expert
Human-computer_interaction,2,0,Needs_analysis
Human-computer_interaction,2,275,Wizard_of_Oz_experiment
Human-computer_interaction,2,0,Wizard_of_Oz_experiment
Knowledge_engineering,2,36,Ontology_(information_science)
Knowledge_engineering,2,36,Collaborative_innovation_network
Knowledge_engineering,2,36,Rules_Extraction_System_Family
Knowledge_engineering,2,36,Logic_Programming_Associates
Human-computer_interaction,2,275,Needs_analysis
History_of_computer_science,2,16,Timeline_of_programming_languages
History_of_computer_science,2,16,List_of_important_publications_in_theoretical_computer_science
History_of_computer_science,2,16,List_of_important_publications_in_computer_science
History_of_computer_science,2,16,List_of_important_publications_in_cryptography
History_of_computer_science,2,16,History_of_computer_science
Human-computer_interaction,2,275,Ultra_Hal_Assistant
Human-computer_interaction,2,0,Ultra_Hal_Assistant
History_of_computer_science,2,16,History_of_compiler_construction
History_of_computer_science,2,16,"List_of_important_publications_in_concurrent,_parallel,_and_distributed_computing"
History_of_computer_science,2,16,History_of_software
History_of_computer_science,2,16,History_of_programming_languages
History_of_computer_science,2,16,Academic_genealogy_of_computer_scientists
Knowledge_engineering,2,36,Flex_expert_system
Knowledge_engineering,2,36,Ontology_for_Biomedical_Investigations
Knowledge_engineering,2,36,Knowledge-based_engineering
Knowledge_engineering,2,36,ISO_15926
Knowledge_engineering,2,36,Intelligent_decision_support_system
Knowledge_engineering,2,36,D3web
Knowledge_engineering,2,36,VisiRule
Knowledge_engineering,2,36,Conceptualization_(information_science)
Knowledge_engineering,2,36,Collaborative_information_seeking
Knowledge_engineering,2,36,Knowledge_level_modeling
Knowledge_engineering,2,36,Data_&_Knowledge_Engineering
Knowledge_engineering,2,36,POSC_Caesar
Knowledge_engineering,2,36,Nonstructural_Fuzzy_Decision_Support_System
Knowledge_engineering,2,36,Conference_on_Semantics_in_Healthcare_and_Life_Sciences
Knowledge_engineering,2,36,Knowledge_modeling
Knowledge_engineering,2,36,Flint_toolkit
Knowledge_engineering,2,36,Semantic_reasoner
Knowledge_engineering,2,36,Knowledge_Engineering_Environment
Knowledge_engineering,2,36,Knowledge_engineering
Knowledge_engineering,2,36,Knowledge_Collection_from_Volunteer_Contributors
Knowledge_engineering,2,36,Ontology_engineering
Knowledge_engineering,2,36,NetWeaver_Developer
Knowledge_engineering,2,36,Knowledge_engineer
Knowledge_engineering,2,36,International_Journal_of_Software_Engineering_and_Knowledge_Engineering
Knowledge_engineering,2,36,Semantic_Web
Knowledge_engineering,2,36,Integrated_Operations_in_the_High_North
Knowledge_engineering,2,36,Knowledge_Acquisition_and_Documentation_Structuring
Knowledge_engineering,2,36,Frame_language
Electronic_engineering,2,172,EKV_MOSFET_model
Electronic_engineering,2,172,Flexible_organic_light-emitting_diode
Electronic_engineering,2,172,Electronic_speed_control
Electronic_engineering,2,172,Titanium_oxide
Electronic_engineering,2,172,Logic_optimization
Electronic_engineering,2,172,Uniform_field_theory
Electronic_engineering,2,172,Topology_(electrical_circuits)
Electronic_engineering,2,172,Electrical_engineering
Electronic_engineering,2,172,Fault_coverage
Electronic_engineering,2,172,Pre-charge
Electronic_engineering,2,172,Basing_diagram
Electronic_engineering,2,172,Convia
Electronic_engineering,2,172,Terminal_(electronics)
Electronic_engineering,2,172,Contact_pad
Electronic_engineering,2,172,Enterprise_test_software
Electronic_engineering,2,172,Center_for_Advancing_Electronics_Dresden
Computer_hardware,2,60,Computer_hardware
Computer_hardware,2,60,Central_processing_unit
Human-computer_interaction,2,275,Bad_Day_(viral_video)
Computer_hardware,2,60,Flat_panel_display
Human-computer_interaction,2,0,Usage-centered_design
Human-computer_interaction,2,275,Usage-centered_design
Computer_hardware,2,60,Computer_speakers
Computer_hardware,2,60,Computer_compatibility
Computer_hardware,2,60,Hardware_reset
Computer_hardware,2,60,Mini-STX
Computer_hardware,2,60,X2_transceiver
Computer_hardware,2,60,ASRock_M8
Electronic_engineering,2,172,Intrinsic_safety
Electronic_engineering,2,172,Transparent_heating_film
Electronic_engineering,2,172,Analog_device
Electronic_engineering,2,172,Electromagnetic_field_solver
Electronic_engineering,2,172,Fuzzy_electronics
Electronic_engineering,2,172,Electronic_circuit
Electronic_engineering,2,172,Bridging_fault
Electronic_engineering,2,172,Device_under_test
Electronic_engineering,2,172,Operating_point
Electronic_engineering,2,172,Ohm's_law
Electronic_engineering,2,172,Mathematical_methods_in_electronics
Electronic_engineering,2,172,Noise_margin
Electronic_engineering,2,172,Functional_testing_(manufacturing)
Electronic_engineering,2,172,Electronic_design_automation
Electronic_engineering,2,172,Electric_power_conversion
Electronic_engineering,2,172,"Institute_of_Electronics,_Information_and_Communication_Engineers"
Electronic_engineering,2,172,Reference_designator
Electronic_engineering,2,172,Electronic_hardware
Electronic_engineering,2,172,Institution_of_Electronics_and_Telecommunication_Engineers
Electronic_engineering,2,172,IP-XACT
Electronic_engineering,2,172,Maze_runner
Electronic_engineering,2,172,Time_stretch_analog-to-digital_converter
Electronic_engineering,2,172,Time_domain_vernier_method
Electronic_engineering,2,172,Radio-frequency_engineering
Electronic_engineering,2,172,Integrated_circuit_design
Electronic_engineering,2,172,Y-factor
Electronic_engineering,2,172,Test_compression
Human-computer_interaction,2,0,Presentation-abstraction-control
Human-computer_interaction,2,275,Minimally_invasive_education
Human-computer_interaction,2,0,Minimally_invasive_education
Human-computer_interaction,2,275,Presentation-abstraction-control
Electronic_engineering,2,172,Whisker_(metallurgy)
Electronic_engineering,2,172,Safe_operating_area
Human-computer_interaction,2,0,Bad_Day_(viral_video)
Human-computer_interaction,2,275,Transreality_gaming
Human-computer_interaction,2,0,Transreality_gaming
Human-computer_interaction,2,0,The_Interactive_Institute
Human-computer_interaction,2,275,The_Interactive_Institute
Electronic_engineering,2,172,Substrate_coupling
Computer_hardware,2,60,Vinyl_cutter
Computer_hardware,2,60,Hardware_Trojan
Computer_hardware,2,60,Hardware_backdoor
Computer_hardware,2,60,Monitor_mount
Computer_hardware,2,60,GPU_switching
Computer_hardware,2,60,Processor_(computing)
Computer_hardware,2,60,Emulator
Computer_hardware,2,60,Power_cycling
Unsolved_problems_in_computer_science,2,25,Aanderaa-Karp-Rosenberg_conjecture
Unsolved_problems_in_computer_science,2,25,Generalized_star_height_problem
Computer_hardware,2,60,Hardware_compatibility_list
Computer_hardware,2,60,S5P4418
Computer_hardware,2,60,Cache_hierarchy
Computer_hardware,2,60,Librem
Computer_hardware,2,60,Game_development_kit
Electronic_engineering,2,172,Gyrator-capacitor_model
Electronic_engineering,2,172,Endec
Electronic_engineering,2,172,Time-domain_reflectometry
Electronic_engineering,2,172,Source_transformation
Electronic_engineering,2,172,Franz-Keldysh_effect
Electronic_engineering,2,172,Shift_register_lookup_table
Computer_hardware,2,60,Rackmount_KVM
Computer_hardware,2,60,Hardware_security
Electronic_engineering,2,172,Computer_module
Electronic_engineering,2,172,IEC_61131
Human-computer_interaction,2,0,DeviceKit
Electronic_engineering,2,172,Analogue_electronics
Electronic_engineering,2,172,Logic_synthesis
Electronic_engineering,2,172,Line_(electrical_engineering)
Electronic_engineering,2,172,Flip-flop_(electronics)
Electronic_engineering,2,172,Celeste_Baranski
Electronic_engineering,2,172,Hardware_obfuscation
Electronic_engineering,2,172,Lee_algorithm
Electronic_engineering,2,172,Alberto_Diaspro
Electronic_engineering,2,172,Impulse_generator
Electronic_engineering,2,172,MPLAB_devices
Electronic_engineering,2,172,Compact_Model_Coalition
Electronic_engineering,2,172,IEEE_1451
Electronic_engineering,2,172,Ground_bounce
Electronic_engineering,2,172,Design_closure
Electronic_engineering,2,172,Highly_accelerated_life_test
Electronic_engineering,2,172,Microvia
Electronic_engineering,2,172,ESD_simulator
Electronic_engineering,2,172,Diagnostic_board
Electronic_engineering,2,172,Circuit_design
Electronic_engineering,2,172,Dark_current_(physics)
Electronic_engineering,2,172,Undervoltage-lockout
Electronic_engineering,2,172,Electronic_oscillation
Human-computer_interaction,2,0,Radiodrum
Human-computer_interaction,2,275,Livescribe
Information_architecture,2,8,User_interface_design
Human-computer_interaction,2,0,Manufacture_Modules_Technologies_(MMT)
Human-computer_interaction,2,275,Radiodrum
Information_architecture,2,8,Folksonomy
Human-computer_interaction,2,0,Livescribe
Electronic_engineering,2,172,Safe_Torque_Off
Information_architecture,2,8,Information_architecture
Information_architecture,2,8,Site_map
Information_architecture,2,8,Findability
Information_architecture,2,8,Usability
Information_architecture,2,8,Discoverability
Information_architecture,2,8,Information_Architecture_Institute
Electronic_engineering,2,172,Printed_circuit_board
Electronic_engineering,2,172,Spread-spectrum_time-domain_reflectometry
Electronic_engineering,2,172,Elmore_delay
Electronic_engineering,2,172,Logic_redundancy
Electronic_engineering,2,172,Chamfer
Electronic_engineering,2,172,Kxc3xbcpfmxc3xbcller's_uncertainty_principle
Electronic_engineering,2,172,Reflectometry
Electronic_engineering,2,172,Electronic_paper
Electronic_engineering,2,172,Programmable_load
Electronic_engineering,2,172,Angle_notation
Electronic_engineering,2,172,Thermal_runaway
Electronic_engineering,2,172,Glossary_of_electrical_and_electronics_engineering
Electronic_engineering,2,172,Bootstrapping_(electronics)
Electronic_engineering,2,172,Computer_science
Electronic_engineering,2,172,Communications-electronics
Electronic_engineering,2,172,Electronic_symbol
Electronic_engineering,2,172,Mason's_invariant
Electronic_engineering,2,172,Open-circuit_time_constant_method
Electronic_engineering,2,172,Virtual_instrumentation
Electronic_engineering,2,172,Smart_onboard_data_interface_module
Electronic_engineering,2,172,LAVIS_(software)
Electronic_engineering,2,172,NQS
Electronic_engineering,2,172,Memory_cell_(binary)
Electronic_engineering,2,172,Noise-domain_reflectometry
Electronic_engineering,2,172,Stretchable_electronics
Mathematical_concepts,2,29,Mathematical_diagram
Mathematical_concepts,2,29,Olog
Mathematical_concepts,2,29,Ackermann's_formula
Mathematical_concepts,2,29,Dimension
Mathematical_concepts,2,29,Line_(geometry)
Mathematical_concepts,2,29,Dimensionless_quantity
Electronic_engineering,2,172,Nanoprobing
Electronic_engineering,2,172,Mass_action_law_(electronics)
Electronic_engineering,2,172,Energy_efficient_transformer
Electronic_engineering,2,172,Transistor_model
Electronic_engineering,2,172,Bipolar_transistor_biasing
Mathematical_concepts,2,29,Limiting_case_(mathematics)
Mathematical_concepts,2,29,Taylor_diagram
Mathematical_concepts,2,29,Sheaf_of_planes
Mathematical_concepts,2,29,Point_(geometry)
Mathematical_concepts,2,29,Boolean-valued
Electronic_engineering,2,172,IEC_61108
Electronic_engineering,2,172,System_analysis
Mathematical_concepts,2,29,Power_law_of_cache_misses
Mathematical_concepts,2,29,Canonical_cover
Mathematical_concepts,2,29,Unit_angle
Mathematical_concepts,2,29,Plane_(geometry)
Mathematical_concepts,2,29,Degeneracy_(mathematics)
Mathematical_concepts,2,29,Kxc3xa4llxc3xa9n_function
Mathematical_concepts,2,29,Parity_(mathematics)
Mathematical_concepts,2,29,Turn_(geometry)
Mathematical_concepts,2,29,List_of_mathematical_concepts_named_after_places
Mathematical_concepts,2,29,Radial_line
Data_mining,2,64,Text_mining
Data_mining,2,64,Multiple_kernel_learning
Museum_informatics,2,31,Museum_Computer_Network
Museum_informatics,2,31,System_Simulation
Museum_informatics,2,31,Museums_Computer_Group
Data_mining,2,64,Domain_driven_data_mining
Data_mining,2,64,Social_profiling
Data_mining,2,64,PatientsLikeMe
Data_mining,2,64,Cluster_analysis
Data_mining,2,64,Outline_of_machine_learning
Data_mining,2,64,International_Journal_of_Data_Warehousing_and_Mining
Museum_informatics,2,31,EVA_Conferences
Museum_informatics,2,31,Archives_&_Museum_Informatics
Set_indices_on_mathematics,2,45,Multiplication_of_vectors
Set_indices_on_mathematics,2,45,Differential_(mathematics)
Set_indices_on_mathematics,2,45,Probability_distribution_function
Set_indices_on_mathematics,2,45,Baumgartner's_axiom
Set_indices_on_mathematics,2,45,Graded_(mathematics)
Set_indices_on_mathematics,2,45,Noetherian
Set_indices_on_mathematics,2,45,Compound_of_tetrahedra
Set_indices_on_mathematics,2,45,Hecke_algebra
Set_indices_on_mathematics,2,45,Path_space
Set_indices_on_mathematics,2,45,Socle_(mathematics)
Set_indices_on_mathematics,2,45,Order_(mathematics)
Set_indices_on_mathematics,2,45,Stationary_distribution
Set_indices_on_mathematics,2,45,Apeirogonal_tiling
Museum_informatics,2,31,CIDOC_Conceptual_Reference_Model
Museum_informatics,2,31,Online_exhibition
Museum_informatics,2,31,LIDO
Museum_informatics,2,31,ICHIM
Museum_informatics,2,31,Categories_for_the_Description_of_Works_of_Art
Data_mining,2,64,Feature_vector
Data_mining,2,64,Profiling_(information_science)
Data_mining,2,64,Web_mining
Data_mining,2,64,Archetypal_analysis
Data_mining,2,64,Elastic_map
Data_mining,2,64,Wiener_connector
Data_mining,2,64,Contrast_set_learning
Data_mining,2,64,Receiver_operating_characteristic
Data_mining,2,64,Uncertain_data
Data_mining,2,64,K-optimal_pattern_discovery
Data_mining,2,64,Computational_X
Data_mining,2,64,Molecule_mining
Data_mining,2,64,Data_dredging
Data_mining,2,64,Data_stream_mining
Data_mining,2,64,Data_mining
Data_mining,2,64,Optimal_matching
Data_mining,2,64,Association_rule_learning
Data_mining,2,64,Biomedical_text_mining
Data_mining,2,64,Automatic_summarization
Set_indices_on_mathematics,2,45,Comparison_theorem
Data_mining,2,64,Agent_mining
Data_mining,2,64,SIGKDD
Set_indices_on_mathematics,2,45,Confocal
Set_indices_on_mathematics,2,45,Irreducibility_(mathematics)
Set_indices_on_mathematics,2,45,Uniqueness_theorem
Ambient_intelligence,2,15,OpenWSN
Human-computer_interaction,2,275,Cognitive_ergonomics
Human-computer_interaction,2,0,Cognitive_ergonomics
Ambient_intelligence,2,15,Wearable_technology
Ambient_intelligence,2,15,E-textiles
Ambient_intelligence,2,15,Wearable_computer
Ambient_intelligence,2,15,Autographer
Human-computer_interaction,2,0,Object-action_interface
Human-computer_interaction,2,275,Manufacture_Modules_Technologies_(MMT)
Human-computer_interaction,2,275,Object-action_interface
Set_indices_on_mathematics,2,45,Hereditary_property
Set_indices_on_mathematics,2,45,Positive_definiteness
Set_indices_on_mathematics,2,45,Corank
Set_indices_on_mathematics,2,45,Zero-one_law
Set_indices_on_mathematics,2,45,Facet_(geometry)
Set_indices_on_mathematics,2,45,Janko_group
Set_indices_on_mathematics,2,45,Boolean-valued
Information_science_by_discipline,2,13,Museum_informatics
Information_science_by_discipline,2,13,Archival_informatics
Information_science_by_discipline,2,13,Disaster_informatics
Information_science_by_discipline,2,13,Astroinformatics
Information_science_by_discipline,2,13,Engineering_informatics
Information_science_by_discipline,2,13,Legal_informatics
Information_science_by_discipline,2,13,Geoinformatics
Information_science_by_discipline,2,13,Biodiversity_informatics
Information_science_by_discipline,2,13,Hydroinformatics
Information_science_by_discipline,2,13,Computational_informatics
Set_indices_on_mathematics,2,45,Vorlesungen_xc3xbcber_Zahlentheorie
Information_science_by_discipline,2,13,Evolutionary_informatics
Set_indices_on_mathematics,2,45,Vector_(mathematics_and_physics)
Set_indices_on_mathematics,2,45,Axiom_of_countability
Set_indices_on_mathematics,2,45,Symbol_(number_theory)
Set_indices_on_mathematics,2,45,Cartan's_lemma
Set_indices_on_mathematics,2,45,Dehn_plane
Set_indices_on_mathematics,2,45,Supersingular_variety
Set_indices_on_mathematics,2,45,Compound_of_cubes
